MonthlyIncome,effort
2900.0,"(0.00649, 0.04]"
7000.0,"(0.00134, 0.00214]"
10070.0,"(0.00287, 0.00367]"
33491.0,"(-0.001, 0.000309]"
14400.0,"(0.00134, 0.00214]"
2215.0,"(0.000309, 0.00134]"
4309.0,"(0.00468, 0.00649]"
16934.0,"(0.00214, 0.00287]"
5210.0,"(0.00214, 0.00287]"
10704.0,"(0.00214, 0.00287]"
4250.0,"(0.00649, 0.04]"
8333.0,"(0.00367, 0.00468]"
6200.0,"(0.00214, 0.00287]"
2500.0,"(0.00287, 0.00367]"
7428.0,"(0.00214, 0.00287]"
15583.0,"(0.000309, 0.00134]"
3076.0,"(0.00649, 0.04]"
12450.0,"(0.00367, 0.00468]"
2083.0,"(0.00367, 0.00468]"
8583.0,"(0.00649, 0.04]"
9250.0,"(0.00287, 0.00367]"
7950.0,"(0.00214, 0.00287]"
12500.0,"(0.00214, 0.00287]"
8041.0,"(0.000309, 0.00134]"
6034.0,"(0.00468, 0.00649]"
4500.0,"(0.00287, 0.00367]"
4250.0,"(0.00367, 0.00468]"
3534.0,"(-0.001, 0.000309]"
5147.0,"(0.00649, 0.04]"
6650.0,"(0.00287, 0.00367]"
10833.0,"(0.000309, 0.00134]"
17280.0,"(0.00134, 0.00214]"
2710.0,"(0.00134, 0.00214]"
13700.0,"(0.00468, 0.00649]"
4083.0,"(-0.001, 0.000309]"
4390.0,"(0.000309, 0.00134]"
7750.0,"(0.000309, 0.00134]"
10380.0,"(0.000309, 0.00134]"
3140.0,"(0.000309, 0.00134]"
5833.0,"(-0.001, 0.000309]"
12601.0,"(0.00214, 0.00287]"
9878.0,"(0.00214, 0.00287]"
6897.0,"(0.00287, 0.00367]"
6000.0,"(0.00287, 0.00367]"
1.0,"(0.04, 12.67]"
12000.0,"(0.00214, 0.00287]"
4900.0,"(0.00134, 0.00214]"
3000.0,"(0.000309, 0.00134]"
7300.0,"(0.00134, 0.00214]"
7000.0,"(0.00287, 0.00367]"
3517.0,"(-0.001, 0.000309]"
2483.0,"(0.00649, 0.04]"
5541.0,"(0.00134, 0.00214]"
6594.0,"(0.00134, 0.00214]"
3500.0,"(0.00287, 0.00367]"
3867.0,"(0.00649, 0.04]"
4400.0,"(0.00649, 0.04]"
5994.0,"(0.00134, 0.00214]"
7500.0,"(0.00468, 0.00649]"
7420.0,"(0.00134, 0.00214]"
5500.0,"(-0.001, 0.000309]"
6000.0,"(0.00287, 0.00367]"
10270.0,"(0.00468, 0.00649]"
0.0,"(0.04, 12.67]"
7891.0,"(0.00287, 0.00367]"
4355.0,"(0.00134, 0.00214]"
10500.0,"(0.00468, 0.00649]"
2600.0,"(-0.001, 0.000309]"
2500.0,"(0.00134, 0.00214]"
10000.0,"(0.00367, 0.00468]"
3250.0,"(0.00134, 0.00214]"
6000.0,"(0.000309, 0.00134]"
4377.0,"(0.00367, 0.00468]"
4000.0,"(-0.001, 0.000309]"
3600.0,"(0.00134, 0.00214]"
4000.0,"(0.00134, 0.00214]"
6161.0,"(0.000309, 0.00134]"
2078.0,"(-0.001, 0.000309]"
5000.0,"(0.00468, 0.00649]"
2100.0,"(-0.001, 0.000309]"
5166.0,"(-0.001, 0.000309]"
12016.0,"(0.00214, 0.00287]"
